2022-03-14,EXPENDITURE,90,LUNCH,511
2022-03-14,INCOME,44,FORMODE,555
2022-03-14,EXPENDITURE,70,SUPPER,485
2022-03-15,EXPENDITURE,21,CREDIT,464
2022-03-15,EXPENDITURE,90,LUNCH,374
2022-03-15,EXPENDITURE,131,SUPPER,243
2022-03-16,EXPENDITURE,60,LUNCH,183
2022-03-16,EXPENDITURE,55,BREAKFAST,128
2022-03-16,EXPENDITURE,102,CREDIT,26
2022-03-17,INCOME,1000,FORMODE,1026
2022-03-17,EXPENDITURE,90,LUNCH,936
2022-03-17,EXPENDITURE,4,LUNCH,932
2022-03-17,EXPENDITURE,51,CREDIT,881
2022-03-17,EXPENDITURE,95,SUPPER,786
2022-03-17,EXPENDITURE,166,SHOPPING,620
2022-03-17,EXPENDITURE,500,CSR,120
2022-03-18,INCOME,500,FORMODE,620
2022-03-18,EXPENDITURE,500,CLOTHES,120
2022-03-18,EXPENDITURE,70,SUPPER,50
2022-03-17,EXPENDITURE,27,CREDIT,23
2022-03-19,INCOME,1000,FORMODE,1023
2022-03-19,EXPENDITURE,70,LUNCH,953
2022-03-19,EXPENDITURE,350,SUPPER,603
2022-03-20,EXPENDITURE,30,SUPPER,573
2022-03-21,EXPENDITURE,31,CREDIT,542
2022-03-21,EXPENDITURE,90,LUNCH,452
2022-03-21,EXPENDITURE,20,CREDIT,432
2022-03-21,INCOME,7360,FORMODE,7792
2022-03-21,EXPENDITURE,6025,CSR,1767
2022-03-21,EXPENDITURE,85,SUPPER,1682
2022-03-21,INCOME,44392,FORMODE,46074
2022-03-22,EXPENDITURE,440,TRANSPORT,45634
2022-03-22,EXPENDITURE,560,TRANSPORT,45074
2022-03-22,EXPENDITURE,51,CREDIT,45023
2022-03-22,EXPENDITURE,990,BREAKFAST,44033
2022-03-22,EXPENDITURE,227,WITHDRAWN,43806
2022-03-22,EXPENDITURE,120,SUPPER,43686
2022-03-23,EXPENDITURE,40,LUNCH,43646
2022-03-24,EXPENDITURE,51,BUNDLES,43595
2022-03-24,EXPENDITURE,2528,WITHDRAWN,41067
2022-03-24,EXPENDITURE,784,SHOPPING,40283
2022-03-24,EXPENDITURE,31,CREDIT,40252
2022-03-25,EXPENDITURE,1000,BUNDLES,39252
2022-03-26,EXPENDITURE,500,CSR,38752
2022-03-26,EXPENDITURE,710,LUNCH,38042
2022-03-26,EXPENDITURE,612,SHOPPING,37430
2022-03-26,EXPENDITURE,206,TRANSPORT,37224
2022-03-26,EXPENDITURE,527,WITHDRAWN,36697
2022-03-30,EXPENDITURE,100,TRANSPORT,36597
2022-03-30,EXPENDITURE,1028,WITHDRAWN,35569
2022-03-30,EXPENDITURE,95,SUPPER,35474
2022-03-30,EXPENDITURE,110,BREAKFAST,35364
